Hit Type,Base Attack,Damage Dealt,Weapon Accuracy,Target Defense
normal,12,1,0,20
normal,12,3,0,20
normal,12,2,0,20
normal,12,1,0,20
normal,12,2,0,20
normal,12,3,0,20
normal,12,5,0,20
normal,12,6,0,20
normal,12,1,0,20
normal,12,2,0,20
normal,12,1,0,20
normal,12,5,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,6,0,20
normal,12,6,0,20
normal,12,1,0,20
normal,12,3,0,20
normal,12,3,0,20
normal,12,8,0,20
normal,12,7,0,20
normal,12,1,0,20
normal,12,5,0,20
normal,12,1,0,20
normal,12,5,0,20
normal,12,4,0,20
normal,12,3,0,20
normal,12,7,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,6,0,20
normal,12,1,0,20
normal,12,5,0,20
normal,12,3,0,20
normal,12,5,0,20
normal,12,7,0,20
normal,12,9,0,20
normal,12,1,0,20
normal,12,8,0,20
normal,12,5,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,2,0,20
normal,12,1,0,20
normal,12,3,0,20
normal,12,1,0,20
normal,12,3,0,20
normal,12,1,0,20
normal,12,3,0,20
normal,12,5,0,20
normal,12,1,0,20
normal,12,3,0,20
normal,12,1,0,20
normal,12,4,0,20
normal,12,7,0,20
normal,12,2,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,6,0,20
normal,12,1,0,20
normal,12,4,0,20
normal,12,2,0,20
normal,12,3,0,20
normal,12,8,0,20
normal,12,2,0,20
normal,12,4,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,2,0,20
normal,12,4,0,20
normal,12,6,0,20
normal,12,4,0,20
normal,12,8,0,20
normal,12,1,0,20
normal,12,9,0,20
normal,12,1,0,20
normal,12,3,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,2,0,20
normal,12,1,0,20
normal,12,4,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,6,0,20
normal,12,1,0,20
normal,12,6,0,20
normal,12,2,0,20
normal,12,4,0,20
normal,12,8,0,20
normal,12,3,0,20
normal,12,1,0,20
normal,12,6,0,20
normal,12,7,0,20
normal,12,8,0,20
normal,12,7,0,20
normal,12,5,0,20
normal,12,1,0,20
normal,12,2,0,20
normal,12,1,0,20
normal,12,2,0,20
normal,12,3,0,20
normal,12,2,0,20
normal,12,5,0,20
normal,12,6,0,20
normal,12,1,0,20
normal,12,7,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,3,0,20
normal,12,6,0,20
normal,12,4,0,20
normal,12,2,0,20
normal,12,1,0,20
normal,12,4,0,20
normal,12,7,0,20
normal,12,8,0,20
normal,12,4,0,20
normal,12,1,0,20
normal,12,2,0,20
normal,12,1,0,20
normal,12,10,0,20
normal,12,2,0,20
normal,12,9,0,20
normal,12,4,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,2,0,20
normal,12,7,0,20
normal,12,7,0,20
normal,12,1,0,20
normal,12,4,0,20
normal,12,1,0,20
normal,12,2,0,20
normal,12,3,0,20
normal,12,6,0,20
normal,12,1,0,20
normal,12,3,0,20
normal,12,3,0,20
normal,12,3,0,20
normal,12,1,0,20
normal,12,2,0,20
normal,12,5,0,20
normal,12,4,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,6,0,20
normal,12,3,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,7,0,20
normal,12,2,0,20
normal,12,2,0,20
normal,12,7,0,20
normal,12,4,0,20
normal,12,2,0,20
normal,12,7,0,20
normal,12,5,0,20
normal,12,6,0,20
normal,12,5,0,20
normal,12,9,0,20
normal,12,1,0,20
normal,12,6,0,20
normal,12,1,0,20
normal,12,5,0,20
normal,12,3,0,20
normal,12,9,0,20
normal,12,6,0,20
normal,12,8,0,20
normal,12,5,0,20
normal,12,4,0,20
normal,12,1,0,20
normal,12,5,0,20
normal,12,6,0,20
normal,12,3,0,20
normal,12,6,0,20
normal,12,2,0,20
normal,12,2,0,20
normal,12,3,0,20
normal,12,1,0,20
normal,12,2,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,3,0,20
normal,12,4,0,20
normal,12,4,0,20
normal,12,4,0,20
normal,12,2,0,20
normal,12,1,0,20
normal,12,3,0,20
normal,12,5,0,20
normal,12,7,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,6,0,20
normal,12,1,0,20
normal,12,5,0,20
normal,12,2,0,20
normal,12,1,0,20
normal,12,5,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,6,0,20
normal,12,4,0,20
normal,12,7,0,20
normal,12,1,0,20
normal,12,2,0,20
normal,12,3,0,20
normal,12,4,0,20
normal,12,6,0,20
normal,12,2,0,20
normal,12,1,0,20
normal,12,5,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,2,0,20
normal,12,4,0,20
normal,12,8,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,6,0,20
normal,12,4,0,20
normal,12,1,0,20
normal,12,1,0,20
normal,12,5,0,20
normal,12,8,0,20
normal,12,3,0,20
normal,12,1,0,20
normal,12,5,0,20
normal,12,4,0,20
normal,12,6,0,20
normal,12,8,0,20
normal,12,7,0,20
normal,12,2,0,20
normal,12,7,0,20
normal,12,1,0,20
normal,12,3,0,20
normal,12,1,0,20
normal,12,5,0,20
